QID	Question	DocumentID	DocumentName	RelevantPassages
3295	What nationalistic ideals influenced French people?	700	French_people.html	26,27,28
1205	How extensive was Mongol rein in Siberia?	206	Siberia.html	3
1705	What events occurred when a German U-boat visited the Gulf of Mexico, and what was unusual about the crew of one of the ships that met that submarine?	807	Gulf_of_Mexico.html	14,15
3318	What methods were used to allieve the 1973 oil crisis?	852	1973_oil_crisis.html	24,25,26
2497	What steps were taken to modernize the conservative party following World War II	23	Conservative_Party_(UK).html	7,8,9,10,11
892	Why is Baltimore historically a significant maritime city?	310	Baltimore.html	0
3200	What was the cultural composition of classical antiquity?	707	Classical_antiquity.html	0,1
861	What is the climate of Wyoming?	612	Wyoming.html	6,7
3163	What Does The Vienna convention Have To Do With The Idea Of Controlled-Access Highways?	588	Controlled-access_highway.html	0
3047	What is the etymology of Suriname?	526	Suriname.html	1,2,3
3468	How has military spending effected New Mexico?	734	New_Mexico.html	27,28
3471	How is the Caucasus divided politically?	824	Caucasus.html	0
774	What effects did ABC game shows have on CBS?	237	CBS.html	25
1317	What is Granite?	283	Granite.html	0
3038	How does Marxism relate to the Industrial Revolution?	559	Marxism.html	14,15
367	What was the main reason for the string of Democratic presidential victories until 1968?	804	Democratic_Party_(United_States).html	12
3774	Why is Total Fertility Rate an artificial measure?	661	Total_fertility_rate.html	0
4185	What occurred during the Spanish rule of Haiti?	544	Haiti.html	6,7,8
3796	Why isn't renewable energy limited to a particular region?	558	Renewable_energy.html	0,1,3
269	What are the characteristics of the alphabet of the Russian language?	479	Russian_language.html	21,22
3546	What are Budapest's culturally significant areas?	79	Budapest.html	2
643	What were the causes of Russia's ejection from the G7?	465	Group_of_Seven_(G7).html	2,3
1096	How did Old Dutch develop into Middle Dutch?	110	Dutch_language.html	13
3681	What caused the 2008 disruption of the Golden Globe Award?	311	Golden_Globe_Award.html	3,4
3612	What is a municipality?	516	Municipality.html	0
2106	What is Oklahoma's topography?	724	Oklahoma.html	5
3605	How does folk music reflect cultural syncretism?	426	Folk_music.html	8
3347	What characterized Toronto after the Second World War?	491	Toronto.html	12,13
241	What regions did modern Romania arise from?	616	Romania.html	1
3091	How can music be subdivided and are there any hard and fast rules?	781	Music.html	2
3384	What kind of factors led to Jimmy Carter having an edge over more well know politicians during his campaign?	56	Jimmy_Carter.html	29,30
288	What changes did El Salvador go through to become the independent country it is today?	266	El_Salvador.html	0,14
622	How does the contiguous United States compare to other countries by size?	175	Contiguous_United_States.html	0,1
2483	Historically, How can We Connect The Florida Land Boom Bust, Fidel Castro & World War II,  To This Idea Of MIAMI As a The Magic City?	472	Miami.html	7,8
2707	How did the Joanine era begin?	585	Portugal.html	19
1070	Why does the internet operate without a central governing body?	314	Internet.html	2,10,11
639	How did the G7 form?	465	Group_of_Seven_(G7).html	1,2,3
4142	How did Charlemagne influence the direction of European history?	744	Charlemagne.html	0
1510	What were universities like in Medieval times?	562	University.html	3,4,5,6,7,8
3221	What role does IT have on Vienna's economics?	844	Vienna.html	29,30
3946	What effect did American expansion into the West have on Native Americans?	254	Native_Americans_in_the_United_States.html	2,3
4179	What controversies exist over the existence of state schools?	317	State_school.html	3
2118	How does George W. Bush use his free time to enrich his mind and well being?	299	George_W._Bush.html	8,9
777	How was CBS effected music production?	237	CBS.html	54,55
99	What were the aims of the Townshend Acts passed by Parliament?	521	American_Revolution.html	8,9
4053	Why was the league divided into the NL and AL?	775	Major_League_Baseball.html	7,8,9
3055	What is the geography of Cental Asia?	257	Central_Asia.html	7,8
3331	How was the Alliance formed?	64	Allies_of_World_War_II.html	1,7
3788	What is the significance of the term seat in legislature?	610	Legislature.html	2
320	How did the division within the Japanese leadership contribute to the surrender of Japan?	1	Surrender_of_Japan.html	9,10,11,12,14
698	What was alleged in Alexander vs. Yale?	680	Yale_University.html	20
1076	What is the etymology of Cairo?	433	Cairo.html	1,2
2834	What characterized Stalin's schooling?	840	Joseph_Stalin.html	6,7
409	How did the assasintion of Archduke Franz Ferdinand effect World War I?	15	Austria-Hungary.html	65,66,67
1081	How did the Bulgarian Empire arise?	417	Bulgaria.html	5,6
102	How Far Back Can We Trace The Use Of This Spiritual Tradition?	260	Jainism.html	1,2
237	How are the major league soccer teams formatted?	854	Major_League_Soccer.html	5
2525	In terms of innovation and industrial development, why is Israel ranked as one of the highest countries in the Middle East?	255	Israel.html	84
3077	What characterized Moscow in prehistory?	514	Moscow.html	5,6
2672	What is the signicance of the Denny Party?	120	Seattle.html	3,4
678	What were the most important burial sites to the Viking's?	129	Vikings.html	27,28
1537	What was the relation with the Roman Empire?	365	Greeks.html	8
2043	What are the comparison & contrasting analytical differentials between the living forms of standardized Mandarin?	413	Standard_Chinese.html	0,1
1859	How did Algerian independence come about?	33	Algeria.html	24,25
2088	Why did certain states call for either the Virginia plan or the New Jersey plan in establishing Congress?	436	United_States_House_of_Representatives.html	2,3
719	What is the traditional view of the emergence of Celtic Ireland?	779	Ireland.html	8,9
3402	Why is it important to study the history of Prehistoric North Africa?	477	North_Africa.html	8
4177	What are general characteristics of a state school?	317	State_school.html	0,1
2844	What are some impacts of greenhouse gas?	640	Greenhouse_gas.html	7,8
463	What ethnic groups can be found on the Island?	719	Dominican_Republic.html	70,71
2811	How did the Seven Years War unfold in South America?	198	Seven_Years'_War.html	60,61
4036	What is Cambodia's topography like?	353	Cambodia.html	28,29
907	What legally constitutes as a municipal corporation?	344	Municipal_corporation.html	0
3044	What is the purpose of tickets in public transportation?	519	Public_transport.html	17,18,19
3066	Why are some parts of Mexico and the United States humid subtropical climates?	693	Humid_subtropical_climate.html	10,11
312	How did Kennedy aim to stop the spread of Communism in Latin America?	9	John_F._Kennedy.html	42
3075	What is the overall status of BBC's online presence?	119	BBC.html	52,53
3230	what prompted india to pull out of the 2012 round of PISA testing?	381	Programme_for_International_Student_Assessment.html	15
2126	What role does oil play in the economy of the UAE?	522	United_Arab_Emirates.html	1
3779	Discuss some of the disparities in higher-education fields in terms of pay and employment opportunities.	557	Higher_education.html	3,4
2594	How does a practitioner of Baha'i integrate local laws with the laws of the Baha'i faith?	517	Bah'_Faith.html	25
1541	Why was there difficulty in defining what bilingualism is?	468	First_language.html	4
1083	What factors led to the decline of the Second Bulgarian Empire?	417	Bulgaria.html	8,9
2414	What defines Dublin ?	67	Dublin.html	0
853	How was The Wall Street Journal originally created?	473	The_Wall_Street_Journal.html	1
1260	What is the origin of the word subcontinent?	753	Indian_subcontinent.html	0
1758	Then What Are The Main Focuses Of Economics?	0	Economics.html	0,1
37	What difficulties in use exist in discussing height above mean sea level?	784	Sea_level.html	5
1901	What is the function of the  United Nations Development Programme in regards to Crisis prevention and recovery?	760	United_Nations_Development_Programme.html	6,7
826	Why were the Lincoln-Douglas debates the most famous political debates in American history?	117	Abraham_Lincoln.html	33,34
605	What led to the decline of the passenger rail?	535	Amtrak.html	4,5
4156	How else do we get a better look at country's developed or undeveloped status?	48	Developed_country.html	6,7
3043	How do bus services operate?	519	Public_transport.html	4,5
2942	Why was Estonia's closer ties with Nordic countries an important element in Estonia's post-independence reorientation?	757	Estonia.html	47,48
92	What makes the Bay of Fundy a fossil treasure trove?	74	Nova_Scotia.html	1,2
3358	Why is the orange breasted sun bird endemic?	225	Endemism.html	1,2
1512	What is the history of universities since 1800?	562	University.html	20,21
3847	How do indigenous members of Hinduism consider their religion?	83	Hinduism.html	9
3728	What is the history of the Pew Research Center?	727	Pew_Research_Center.html	0,1
1663	Why is the role of Asian companies so important in the G20?	704	G-20_major_economies.html	12,13
2812	Why is zinc and essential mineral?	139	Zinc.html	2,3
2535	What is London's finance industry like?	130	London.html	53,54
15	How did vietnam's unification into the world economy come to be?	52	Vietnam.html	1,2
3595	What did the Baltic sea provide in the Middle Ages?	801	Baltic_Sea.html	8,9
1371	What were the early Greek antecedents of musical theater?	348	Musical_theatre.html	10
1822	How are allowed deductions classified for tax purposes?	6	Income_tax.html	15,16
2587	What did Napoleon expect would occur by cutting Britain off from the Europeian mainland, and why or why was he not correct and successful?	167	United_Kingdom_of_Great_Britain_and_Ireland.html	5
2712	How did Confucianism develop?	714	Confucianism.html	0
4091	How did trends in German history develop?	568	Germans.html	31,32
1629	What was the importance of Philadelphia in the revolutionary war?	185	Philadelphia.html	9
480	Why did Thomas Young refer to the languages as Indi-European?	42	Indo-European_languages.html	3,4
2975	How does the EPA monitor air quality?	17	United_States_Environmental_Protection_Agency.html	13
2613	What developments occurred as a result of failed military campaigns during the Angelid Dynasty?	97	Byzantine_Empire.html	54,55,56
3621	Which characteristics define the climate in Athens?	318	Athens.html	13
2061	Why was the United States Army not a strong as it once was during the Vietnam War?	12	United_States_Army.html	13
1926	What is the influence of the French language in Haiti?	684	French_language.html	9,10
896	How did the Great Baltimore Fire affect the city?	310	Baltimore.html	13
3019	What effect has the city's border with Canada had on transportation?	660	Detroit.html	95,96
756	What define candidate lists and voters vote for a list?	584	Proportional_representation.html	1,2
4129	How were the experiences of indigenous peoples in Europe different from those in other parts of the world?	30	Indigenous_peoples.html	6,7
219	What attitude did British politics toward the American revolution?	628	American_Revolutionary_War.html	11,12
2350	Why did people construct artificial dwelling hills?	137	North_Sea.html	11
2294	How has Dallas-Fort Worth metroplex real estate been faring?	454	Dallas.html	34,35
744	How did Nixon carry out his resignation?	252	Richard_Nixon.html	74
2772	What does the study of religion encompass?	31	Religion.html	1,2
1980	In what ways did craft guilds, and crafts in general, contribute to the character of Glasgow?	8	Glasgow.html	4,5
270	What are the characteristics of Russian grammar?	479	Russian_language.html	28
1586	How did the Artic people first get to Greenland?	155	Greenland.html	1
1422	What were the Healthcare plans of Obama and McCain during 2008?	131	United_States_presidential_election,_2008.html	40,41
3427	Why was there a reduction in force of the British Army during the postcolonial era?	594	British_Army.html	11,12
3797	Why can renewable energy products also be realized on a small scale?	558	Renewable_energy.html	2,4,52
950	How did the fall in stock market values mirror the Great Depression?	228	Financial_crisis_of_200708.html	53,54
3597	How is Jakarta governed?	845	Jakarta.html	14,15
1544	What changes appear in the fossil record 50,000 years ago?	462	Paleolithic.html	1
3916	How is Cantonese distributed throughout Hong Kong and Macau?	565	Cantonese.html	3,4
439	What problems are caused by resource extraction?	194	Natural_resource.html	6,7
38	How is the changing relationship between sea level and dry land described?	784	Sea_level.html	6,7
3694	What was the effect of the First World War on Paris?	792	Paris.html	15,16
1862	Why do host countries allow FDI?	324	Foreign_direct_investment.html	7
2777	What is the process by which Maize receives it's color?	191	Maize.html	12
1412	What happened when the Germanic people collided with Romans?	754	Germanic_peoples.html	23,24
3579	What competitive pressures is the automobile industry facing?	32	Car.html	36,37
2788	In what ways did the development of the Luxumburg railroad promote trade and the economy?	842	Luxembourg.html	4
2473	Why are the traditional colors of Christmas red, green	148	Christmas.html	34
3321	How were internationals affected by the 1973 oil crisis?	852	1973_oil_crisis.html	33,34
1941	How are the state department's expenditures audited?	239	United_States_Department_of_State.html	18,19
3338	How did the term Atheism originate?	202	Atheism.html	0,1
2396	How is the host country chosen for the World Cup?	675	FIFA_World_Cup.html	24,25
2909	How do civil rights movements operate?	49	Civil_and_political_rights.html	8,9
1213	How is Frankfurt a multicultural city?	802	Frankfurt.html	24
2116	How did September 11 lead to further military intervention on the part of George W. Bush?	299	George_W._Bush.html	1
2582	How was Slovenia effected under Nazi Germany?	53	Slovenia.html	16,17
3514	What were the main features of Athenian direct democracy?	199	Democracy.html	6
1227	How was the EEC enlarged in the 1960s and 70s?	692	European_Economic_Community.html	6,7
2740	How did the postclassical period contribute to the emergence and spreading of Medieval Latin?	354	Latin.html	14
87	What influence has Jushe ideology had on North Korea's political system?	776	North_Korea.html	32,33
4182	What is Haiti?	544	Haiti.html	0
1195	What is the role of Jesus in Islam?	316	Jesus.html	2
1533	What phenomenon of diglossia exists in spoken Arabic?	279	Arabic.html	15
2719	How is dirigisme similar or different from a mixed economy?	73	Mixed_economy.html	6
1279	What defines the "Final Solution to the Jewish Question"?	851	The_Holocaust.html	1,2
2050	How would you define the United States Air Force relative to the US Army?	102	United_States_Air_Force.html	0
871	Why does the LDS church differ from Christianity?	380	The_Church_of_Jesus_Christ_of_Latter-day_Saints.html	14
886	Why are the drug cartels a major concern in Mexico?	61	Mexico.html	48,49
1506	What kind of pressure did Germany put on the Ottoman Empire for their participation in World War I?	579	Central_Powers.html	8
2843	How do clouds contribute to the greenhouse effect?	640	Greenhouse_gas.html	7
3646	Why does manufacturing need to be increased in the US?	767	Manufacturing.html	6
891	How does the climate affect Sri Lanka's flora and fauna?	90	Sri_Lanka.html	26,27,28,29,30,31,32
1233	How did Sunnis deal with the debate over how to deal issues that were originally in the Quran?	552	Sunni_Islam.html	8
753	Explain the Anglican practice of Faith.	242	Anglicanism.html	5,6
3753	What are the politics of Qatar?	147	Qatar.html	21,22
3752	What occurred in Qatar during the antiquity period?	147	Qatar.html	3,4,5
2534	What kind of accent is a London accent?	130	London.html	50
555	Why did Stockholm regain its economic role in the second half of the 19th century?	540	Stockholm.html	7
2053	During major military engagement campaigns, could you tell us how  the U.S. Air Force deployments carry-out & executive assigned combat missions & can you specially highlight the significance of the different USAF assets during large sale field interventions?	102	United_States_Air_Force.html	1,2
1241	How did Darwin's career transform into that of a geologist and naturalist?	322	Charles_Darwin.html	0,1
505	What characterized Shakespeare's final period?	532	William_Shakespeare.html	20,21
2499	Was David Cameron's reign marked by power or opposition?	23	Conservative_Party_(UK).html	26,27,28,29
1855	How was Greece involved in slave trading?	787	Slavery.html	18
2768	Why does Virginia have one of the highest concentration of veterans?	536	Virginia.html	41
3193	How are the rates determined for the euro?	736	Euro.html	12
2722	What is Socialism?	467	Socialism.html	0,1
1808	How did the British establish a trading system in the midst of Indian territory?	193	Ontario.html	14,15
3255	What is a government?	458	Forms_of_government.html	0
627	How does viral load affect risk?	18	HIV/AIDS.html	12
803	How was the NBA created out of the BAA?	214	National_Basketball_Association.html	1,2,3
1984	How does common law develop?	221	Common_law.html	0
2280	Why and how did some major events which have occurred during this century in Manattan change lives?	362	Manhattan.html	14,15,16
4122	How has a libertarian philosophy influenced the laws of Nevada?	697	Nevada.html	2,3
2596	What did the anti-Jewish efforts of the Nazi regime culminate in?	851	The_Holocaust.html	1,63
1450	Why was Iraq removed from the State Sponsors of Terrorism list before the Gulf War?	164	Gulf_War.html	6
2995	How did Queen Victoria's marriage to Albert define her reign?	577	Queen_Victoria.html	17,18
2070	What occurred as the end result of professionalization for philosophy?	574	Philosophy.html	38,39
2457	What has been the major role of the Great Lakes in North American ecology?	446	Great_Lakes.html	1
1102	What is the importance of the head of government as a dominant head of state?	506	Head_of_government.html	4,5
2889	What effect does latitude have on biodiversity?	444	Biodiversity.html	12
464	How did Copenhagen become established?	606	Copenhagen.html	0
1242	How did Darwin contribute to the understanding of sexual selection?	322	Charles_Darwin.html	2,40,54
2697	What is the etymology of "capitalism"?	439	Capitalism.html	1,2
2067	How did the welfare state develop in Germany?	582	Welfare_state.html	9,10
2693	What historical significance of the 4000-year-old tomb at Forteviot?	621	Scotland.html	5
97	What was the British response to being forced out of Boston?	521	American_Revolution.html	1
870	What role has progression served in the LDS church?	380	The_Church_of_Jesus_Christ_of_Latter-day_Saints.html	10,11
559	What happened in Albania during World War II?	285	Albania.html	22,23,24
4114	Why is Japan so densely populated?	496	Japan.html	17
4140	What examples of lingua franca exist?	498	Lingua_franca.html	2,3
3410	How was the Congress of Vienna structured?	453	Congress_of_Vienna.html	2
850	What impact did Spanish explorers have on Texas's original inhabitants?	82	Texas.html	19,20
1393	How did geography influence Gothic style?	357	Gothic_architecture.html	7
26	What are the demographic trends in Manchester during the 21st century?	135	Manchester.html	29,30,31
1382	Why did the United States Navy have little involvement during World War I?	149	United_States_Navy.html	10,11
1086	How are seven chords used in blues music?	300	Blues.html	9,10
1008	Why is Milan an alpha leading global city?	272	Milan.html	1,2
880	Why is the sun more powerful now than it was 2.4 billion years ago?	529	Climate_change.html	8,9
4001	define Hydroelectricity?	817	Hydroelectricity.html	0,24
752	Do Anglican values converge into today's practice?	242	Anglicanism.html	1,2,7
800	Why can selecting a national language be contentious?	364	Official_language.html	3
2624	Why has McDonalds faced complaints from OSHA recently for its treatment of employees?	581	McDonald's.html	27
3512	How does liberal democracy compare with the general term democracy?	199	Democracy.html	3
3128	How was the scrum limited by a new rule?	166	American_football.html	5,6
3501	Why is Warsaw ranked one of the most livable cities?	289	Warsaw.html	0
841	How did Thomas J. Watson Sr. respond to having been fired from the National Cash Register Company by John Henry Patterson?	620	IBM.html	2,3
3281	In what ways did Aristotle bridge a divide between natural sciences and philosophy?	843	Aristotle.html	13
45	What is Connecticut?	160	Connecticut.html	0
3674	What caused the Holiness Revival of the 1800s?	335	Methodism.html	68
387	How can literacy be promoted?	244	Literacy.html	18,19,20
1792	What acts caused Wales to become annexed?	639	Kingdom_of_England.html	25
2862	What is the history of Sydney as a penal colony?	791	Sydney.html	7,8
3657	What is Florida's governmental infrastructure?	75	Florida.html	46,47,48
3980	In what ways did countries participating in WWI and WWII alter their conscription laws?	251	Conscription.html	13,14
351	What characterized Queen Elizabeth's early life?	395	Elizabeth_II.html	2,3
745	How did Nixon re-invent himself during the 1980s?	252	Richard_Nixon.html	86
902	What is the definition of a federated state?	128	Federated_state.html	0
1538	What was the relation with the Ottoman Empire?	365	Greeks.html	12,13
317	What occurred during the colonial period of Bolivia?	371	Bolivia.html	9,10
283	Why did the introduction of Europeans kill a majority of the native populations?	564	South_America.html	11,12
212	What is a Coat of Arms?	733	Coat_of_arms.html	0
2892	What is the early history of Washington state?	501	Washington_(state).html	17
126	What are canals used for today?	144	Canal.html	5
2402	What is the structure of Australia's members of parliament?	400	Member_of_parliament.html	0,1
1442	How do the customs of chenchule' and inafa'maolek play a role in Guam society?	632	Guam.html	23,24
966	What are Plate Tectonics like in the Atlantic Ocean?	63	Atlantic_Ocean.html	22,23,24,25,26,27
3238	What is the weather like in the country of Mongolia?	85	Mongolia.html	24,25
772	What are the salient aspects of human rights in Kuwait?	151	Kuwait.html	22,52
3065	Why is rainfall different in Sari?	693	Humid_subtropical_climate.html	8
382	In what ways could nuclear warfare lead to "mutual annihilation"? Or, do you think an advantage is possible?	159	Nuclear_weapon.html	16,17
3578	What has been done to create an open source "people's car"?	32	Car.html	34
1905	What is the foundation of the Premier League?	138	Premier_League.html	4,5
1489	How did the transition to the English language occur among most German Americans?	759	German_Americans.html	51,52
1763	What were some of the early influences in the Bosnia and Herzegovina region, and how did they leave their mark?	790	Bosnia_and_Herzegovina.html	0,1
3219	How did Vienna grow in the latter half of the 19th century?	844	Vienna.html	6
3645	How does the economic role of manufacturing relate to the general economy?	767	Manufacturing.html	3
2543	How does an analogue television send audio and video signals versus digital television?	336	Radio.html	26,27
2690	What are the origins of the word Judaism?	656	Judaism.html	23
1965	What was the influence of Frederick Thomas Pilkington on gothic rchitecture?	625	Gothic_Revival_architecture.html	13,14
3510	What are some conditions that may lead to one's dissatisfaction with their nationnalism?	826	Nationalism.html	1
3177	How have Welsh speakers evolved their use of language over time?	133	Welsh_language.html	8,9
1487	How have German-Americans integrated into American society?	759	German_Americans.html	2,58
1273	How was the Phillippines named?	422	Philippines.html	4
2113	How did neolithic periods spread through Europe?	701	Neolithic.html	12,13
668	What were some aspects of social protects against nuclear power in the 1970s?	81	Nuclear_power.html	14
1126	In short How Can One synopsize the The Expression "Freedom of speech"?	713	Freedom_of_speech.html	0
2765	Why was lead based paints so dangerous to children?	623	Lead.html	63,64
2093	How is French spoken in Vietnam?	684	French_language.html	11
3192	What are the denominations for the euro notes?	736	Euro.html	7,8
2739	What effect did the Moorish conquest of Spain have on the divergence of vulgar latin languages?	354	Latin.html	12
3854	How did Johann Friedrich Blumenbach characterize people of European descent?	670	White_people.html	8
2888	How does biodiversity vary by area?	444	Biodiversity.html	10
1106	What led to the establishment of the first World Heritage Site?	533	World_Heritage_Site.html	2,3
2034	What is the significance of Michigan's judicial system?	152	Michigan.html	22,23,24
2679	Why is the population of Japan declining?	341	Birth_rate.html	8,9
1158	What were the bases & motivating objectives underlining the  establishment of the Central European Economic Association at the turn of the 20th century?	224	Central_Europe.html	3,4
3921	Why was the Hollywood hotel built?	591	Hollywood.html	4,5
3170	What is the environment of Italy like?	834	Italy.html	25,26
2181	How is the Holy See related to the Vatican City-State?	834	Italy.html	58,59
3588	What was George Calvert's role in 17th century Maryland?	249	Maryland.html	0
2969	How did Kaiser Wilhelm II attempt to get the Nazis to restore the German monarchy?	388	Nazism.html	6
3340	Why did Ludwig Feuerbach[68] and psychoanalyst Sigmund Freud believe god is a human invention?	202	Atheism.html	13
3919	How has the local presence of Cantonese been contentious?	565	Cantonese.html	6
3310	What was the cause of the Labour Party's split during the 1930s?	505	Labour_Party_(UK).html	15,16
2846	What does purchasing power parity refer to?	648	Purchasing_power_parity.html	0
3089	What early developments characterized Evangelicalism?	672	Evangelicalism.html	12,13
469	What changes to English occurred during the transition from Old English to Middle English?	349	Middle_English.html	1
3078	What was the effect of Ivan III on Moscow?	514	Moscow.html	10,11
1960	What led to the formation of a new constitution in 1917 that separated church and state in Uruguay?	728	Uruguay.html	45,46
3591	What role did the principle of partus sequitur ventrem have in Maryland history?	249	Maryland.html	20
3174	How prevalent has the Welsh language been in Wales throughout history?	133	Welsh_language.html	6
3823	What is the origin of the word Sweden?	861	Sweden.html	4
1292	How did New England shape the events of the Revolutionary War?	256	New_England.html	1
258	Describe Brazil's climates?	243	Brazil.html	20
599	What defined Austria during the middle ages?	647	Austria.html	8,9
1958	How did Uruguay become the only country in Latin America to receive universal coverage on safe water?	728	Uruguay.html	41,42
2073	What has happened in the modern era of East Asian philosophy?	574	Philosophy.html	17
227	How has Hindi spread outside India?	86	Hindi.html	2
856	What is the The Wall Street Journal's stance on immigration?	473	The_Wall_Street_Journal.html	24
2183	What is unique about the fact that the Black Sea has anoxic depths?	560	Black_Sea.html	13
2748	What did the invasion consist of?	589	2003_invasion_of_Iraq.html	3,4
3112	How do w distinguish "Sikh" from Sikhism?	832	Sikh.html	0
3491	What impression did Portuguese leave on several famous writers?	281	Portuguese_language.html	0,1
1802	What factors caused the delay of Charles Babbage's invention of the first programmable computer?	447	Computer.html	10,11
3396	What explains the emergence of this  "City diplomacy" idea?	250	Twin_towns_and_sister_cities.html	2,3
1863	What causes FDI from a foreign country to be higher in the United States?	324	Foreign_direct_investment.html	12
2726	What did the IWUSP contribute to Socialism?	467	Socialism.html	25
1134	What is Tunisia?	345	Tunisia.html	0
3082	Why do you think Amsterdam held a different attitude about religious tolerance, when Spain had no sense of the idea?	607	Amsterdam.html	4
3042	How does air travel operate?	519	Public_transport.html	4
2270	How did Otto von Bismarck rejected the British model of a constitutional monarchy?	778	Constitutional_monarchy.html	6,7
2363	What is the learner's focus in vocational learning?	340	Education.html	13
3628	What is the process for nominating a property to the registery?	262	National_Register_of_Historic_Places.html	11,12
2983	What is Pentecostalism?	100	Pentecostalism.html	0
3288	How did Forbes Magazine begin?	178	Forbes.html	1,2
1430	How were the roles and rights of men and women different?	10	Mesopotamia.html	26,27,28
3596	How was the Baltic an arena of conflict in the 13th through 17th centuries?	801	Baltic_Sea.html	11
1428	How has irrigation affected the politics of the region?	10	Mesopotamia.html	4,5,6
2724	How did the Paris Commune affect Socialism?	467	Socialism.html	12,13
3369	What will eventually happen to the world's population growth?	369	Population_growth.html	3
109	What were the effects of the Second World War on Slovakia?	295	Slovakia.html	20,21
2606	Why is California viewed as a global trendsetter?	268	California.html	2
1229	How did the EU absorb the European Communities?	692	European_Economic_Community.html	10
3426	How does the Church of England's Church Urban Fund try to help the community?	720	Church_of_England.html	31
903	How is a federated state formed?	128	Federated_state.html	0,1
545	How did Picasso and cubism evolve within modern art?	613	Modern_art.html	1
3460	How did Walter Murray and Thomas Kean become the fount of Early theatre in New York?	572	Broadway_theatre.html	0,1,2
3687	How did Burmese express their resentment of British rule?	806	Myanmar.html	18,19
3686	How did the Toungoo kings restore order after the Portuguese were defeated?	806	Myanmar.html	13,14
781	What were some security concerns for the 2012 Summer Olympics?	699	2012_Summer_Olympics.html	22,23
2008	How is the history of ancient Israel and Judah in the 10th to 7th centuries BCE as described in the Bible viewed among scholars?	812	Bible.html	40,41
3214	What do scientists believe to be the direct cause of homosexuality?	466	Homosexuality.html	0,1
2195	How have the great powers recognized at the Congress of Vienna shifted since that time?	37	Great_power.html	8,9
4089	How did German speaking people spread throughout the globe?	568	Germans.html	20,21
1953	Is there a way to define Jazz?	590	Jazz.html	4
2674	What was Seattle's role in maritime?	120	Seattle.html	9
465	Why is Copenhagen an important city in Denmark?	606	Copenhagen.html	1
57	Why is deforestation a main concern for Ethiopia?	114	Ethiopia.html	48,49
3070	What was the background of Columbus's quest for Asia?	671	Christopher_Columbus.html	7,8
662	What was the medieval understanding of sovereignty?	797	Sovereignty.html	2,3
119	In 1714 what did the Spanish do to Naples?	569	Naples.html	14
703	What led to the 1983 Solidarity Crisis?	278	British_Columbia.html	41,42
725	Why have recent historians questioned Elizabeth's legacy as queen?	363	Elizabeth_I_of_England.html	61
695	what do women of all ages identify as?	804	Democratic_Party_(United_States).html	78,79
1144	What is the etymology of Rugby League?	386	Rugby_league.html	1,2
